obj: 'INIT', pid: 01
    obj: 'L002', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x08494000, size: 0x002000, phys: 0x887E3E1000, tz0 offset: 0x30D000
    obj: 'O008', pid: 12, owner: 'sks ', type: '_hep', perm: rw-, vaddr: 0x0849B000, size: 0x040000, phys: 0x887E405000, tz0 offset: 0x331000
    obj: 'O030', pid: 12, owner: 'sks ', type: '_ool', perm: rw-, vaddr: 0x084DD000, size: 0x001000, phys: 0x887E65E000, tz0 offset: 0x58A000
    obj: 'O032', pid: 01, owner: 'INIT', type: 'STAK', perm: rw-, vaddr: 0x084E4000, size: 0x001000, phys: 0x887E660000, tz0 offset: 0x58C000
    obj: 'O034', pid: 12, owner: 'sks ', type: '_xrt', perm: rw-, vaddr: 0x084EA000, size: 0x008000, phys: 0x887E665000, tz0 offset: 0x591000
    obj: 'O035', pid: 12, owner: 'sks ', type: 'ANON', perm: rw-, vaddr: 0x084F5000, size: 0x001000, phys: 0x887E66D000, tz0 offset: 0x599000
    obj: 'O036', pid: 11, owner: 'pass', type: 'ANON', perm: rw-, vaddr: 0x0D0DA000, size: 0x001000, phys: 0x887E66E000, tz0 offset: 0x59A000
    obj: 'O028', pid: 14, owner: 'sse ', type: 'ANON', perm: rw-, vaddr: 0x03C2F000, size: 0x001000, phys: 0x887E65C000, tz0 offset: 0x588000
    obj: 'O039', pid: 12, owner: 'sks ', type: 'ANON', perm: rw-, vaddr: 0x08504000, size: 0x002000, phys: 0x887E671000, tz0 offset: 0x59D000
    obj: 'O041', pid: 02, owner: 'SEPD', type: 'PHYS', perm: rw-, vaddr: 0x0850B000, size: 0x008000, phys: 0x080AA7C000, tz0 offset: --------
    obj: 'O040', pid: 02, owner: 'SEPD', type: 'PHYS', perm: rw-, vaddr: 0x08516000, size: 0x008000, phys: 0x080AA74000, tz0 offset: --------
    obj: 'O051', pid: 12, owner: 'sks ', type: '_ool', perm: rw-, vaddr: 0x08522000, size: 0x001000, phys: 0x887E6AD000, tz0 offset: 0x5D9000
